PO  ,M,PECO,    ,CSCI060  HM ,2016,SP  ,ECO
PO  ,M,PCSI,    ,CSCI060  HM ,2014,SP  ,CSI
PO  ,M,PECO,    ,CSCI060  HM ,2015,FA  ,ECO
PO  ,F,PMUS,    ,CSCI060  HM ,2017,FA  ,MUS
PO  ,M,PMAT,    ,CSCI060  HM ,2015,FA  ,MAT
PO  ,F,PPHY,    ,CSCI060  HM ,2017,FA  ,PHY
PO  ,M,PMAT,    ,CSCI060  HM ,2015,FA  ,MAT
PO  ,M,PSOC,    ,CSCI060  HM ,2015,FA  ,SOC
PO  ,M,PNEU,    ,CSCI060  HM ,2015,FA  ,NEU
PO  ,M,PNEU,    ,CSCI060  HM ,2016,SP  ,NEU
PO  ,M,PMAT,PECO,CSCI060  HM ,2017,SP  ,MAT
PO  ,M,PPHY,    ,CSCI060  HM ,2015,FA  ,PHY
PO  ,M,PMAT,    ,CSCI060  HM ,2016,SP  ,MAT
PO  ,F,PMAT,    ,CSCI060  HM ,2016,SP  ,MAT
PO  ,M,PUND,    ,CSCI060  HM ,2017,FA  ,UND
PO  ,M,PMDS,    ,CSCI060  HM ,2017,SP  ,MDS
PO  ,M,PMAT,    ,CSCI060  HM ,2017,FA  ,MAT
PO  ,M,PMAT,    ,CSCI060  HM ,2017,SP  ,MAT
PO  ,F,PUND,    ,CSCI060  HM ,2017,FA  ,UND
SC  ,F,SGEO,    ,CSCI060  HM ,2009,SP  ,GEO
SC  ,F,SBIO,    ,CSCI060  HM ,2009,SP  ,BIO
SC  ,F,SANT,    ,CSCI060  HM ,2009,SP  ,ANT
SC  ,F,SANT,    ,CSCI060  HM ,2009,SP  ,ANT
SC  ,F,SPHY,    ,CSCI060  HM ,2011,SP  ,PHY
SC  ,F,SEVA,    ,CSCI060  HM ,2012,FA  ,EVA
SC  ,F,SMDS,    ,CSCI060  HM ,2009,SP  ,MDS
SC  ,F,PLCS,    ,CSCI060  HM ,2014,SP  ,LCS
SC  ,F,SART,SMDS,CSCI060  HM ,2011,SP  ,ART
SC  ,F,SCSI,    ,CSCI060  HM ,2011,SP  ,CSI
SC  ,F,S32E,    ,CSCI060  HM ,2011,SP  ,32E
SC  ,F,SPSY,    ,CSCI060  HM ,2013,SP  ,PSY
SC  ,F,SPIR,    ,CSCI060  HM ,2014,SP  ,PIR
SC  ,F,PCSI,PLCS,CSCI060  HM ,2012,SP  ,CSI
SC  ,F,SMAT,    ,CSCI060  HM ,2014,SP  ,MAT
SC  ,F,SHIS,    ,CSCI060  HM ,2011,SP  ,HIS
SC  ,F,SPHY,    ,CSCI060  HM ,2012,SP  ,PHY
SC  ,F,HCSI,SMDS,CSCI060  HM ,2012,FA  ,CSI
SC  ,F,SENG,    ,CSCI060  HM ,2014,SP  ,ENG
SC  ,F,SMAT,    ,CSCI060  HM ,2012,SP  ,MAT
SC  ,F,SMEN,    ,CSCI060  HM ,2011,SP  ,MEN
SC  ,F,SMAT,SPHY,CSCI060  HM ,2012,SP  ,MAT
SC  ,F,HMCB,    ,CSCI060  HM ,2013,SP  ,MCB
SC  ,F,HCSI,    ,CSCI060  HM ,2011,SP  ,CSI
SC  ,F,SFRE,    ,CSCI060  HM ,2014,SP  ,FRE
SC  ,F,SMAT,    ,CSCI060  HM ,2013,FA  ,MAT
SC  ,F,SEVA,SGWS,CSCI060  HM ,2013,SP  ,EVA
SC  ,F,PLCS,    ,CSCI060  HM ,2014,FA  ,LCS
SC  ,F,SECO,    ,CSCI060  HM ,2013,SP  ,ECO
SC  ,F,HCSI,    ,CSCI060  HM ,2013,SP  ,CSI
SC  ,F,SSDM,    ,CSCI060  HM ,2013,SP  ,SDM
SC  ,F,HCSI,    ,CSCI060  HM ,2013,SP  ,CSI
SC  ,F,SBPH,    ,CSCI060  HM ,2014,SP  ,BPH
SC  ,F,SECO,SMAT,CSCI060  HM ,2014,FA  ,ECO
SC  ,F,SENG,    ,CSCI060  HM ,2014,FA  ,ENG
SC  ,F,SECO,    ,CSCI060  HM ,2014,SP  ,ECO
SC  ,F,HCSI,,CSCI060  HM ,2016,SP  ,CSI
SC  ,F,SENG,    ,CSCI060  HM ,2014,SP  ,ENG
SC  ,F,SMDS,    ,CSCI060  HM ,2014,FA  ,MDS
SC  ,F,SANT,SSTS,CSCI060  HM ,2014,SP  ,ANT
SC  ,F,SMAT,    ,CSCI060  HM ,2014,FA  ,MAT
SC  ,F,SPHY,    ,CSCI060  HM ,2014,SP  ,PHY
SC  ,F,SPHY,    ,CSCI060  HM ,2014,SP  ,PHY
SC  ,F,PEVA,    ,CSCI060  HM ,2016,FA  ,EVA
SC  ,F,SPHY,    ,CSCI060  HM ,2014,SP  ,PHY
SC  ,F,SPHY,    ,CSCI060  HM ,2014,FA  ,PHY
SC  ,F,S32E,    ,CSCI060  HM ,2014,FA  ,32E
SC  ,F,SPHY,    ,CSCI060  HM ,2016,SP  ,PHY
SC  ,F,SPHY,    ,CSCI060  HM ,2015,FA  ,PHY
SC  ,F,SMBI,    ,CSCI060  HM ,2017,SP  ,MBI
SC  ,F,HCSI,    ,CSCI060  HM ,2014,SP  ,CSI
SC  ,F,SBIO,    ,CSCI060  HM ,2016,SP  ,BIO
SC  ,F,SPHY,    ,CSCI060  HM ,2017,SP  ,PHY
SC  ,F,HCSI,    ,CSCI060  HM ,2016,SP  ,CSI
SC  ,F,SMDS,,CSCI060  HM ,2017,FA  ,MDS
SC  ,F,SSDM,,CSCI060  HM ,2017,SP  ,SDM
SC  ,F,HCSI,,CSCI060  HM ,2016,SP  ,CSI
SC  ,F,HMCB,    ,CSCI060  HM ,2016,SP  ,MCB
SC  ,F,HCSI,SART,CSCI060  HM ,2016,SP  ,CSI
SC  ,F,SSTS,    ,CSCI060  HM ,2015,FA  ,STS
SC  ,F,SSDM,,CSCI060  HM ,2015,FA  ,SDM
SC  ,F,SPOL,,CSCI060  HM ,2015,FA  ,POL
SC  ,F,SMDS,    ,CSCI060  HM ,2016,SP  ,MDS
SC  ,F,HCSI,,CSCI060  HM ,2016,SP  ,CSI
SC  ,F,SECO,,CSCI060  HM ,2017,SP  ,ECO
SC  ,F,HCSI,,CSCI060  HM ,2016,SP  ,CSI
SC  ,F,HCSI,SPSY,CSCI060  HM ,2017,SP  ,CSI
SC  ,F,HCSI,,CSCI060  HM ,2015,SP  ,CSI
SC  ,F,HCSI,    ,CSCI060  HM ,2016,SP  ,CSI
SC  ,F,SCHS,,CSCI060  HM ,2017,SP  ,CHS
SC  ,F,HCSI,,CSCI060  HM ,2017,SP  ,CSI
SC  ,F,HMCB,,CSCI060  HM ,2017,SP  ,MCB
SC  ,F,SMAT,SPHY,CSCI060  HM ,2017,SP  ,MAT
SC  ,F,HCSI,,CSCI060  HM ,2016,SP  ,CSI
SC  ,F,HMCB,    ,CSCI060  HM ,2017,SP  ,MCB
SC  ,F,HCSI,    ,CSCI060  HM ,2016,SP  ,CSI
SC  ,F,HCSI,    ,CSCI060  HM ,2016,SP  ,CSI
SC  ,F,HCSI,    ,CSCI060  HM ,2017,SP  ,CSI
